30400_G.pthheat: 0.0000, Adjust_PSNR: 26.0502, Adjust_LPIPS: 0.1417, Adjust_SSIM: 0.8532, PSNR: 22.9256, LPIPS: 0.1450, SSIM: 0.8417
30600_G.pthheat: 0.0000, Adjust_PSNR: 25.6094, Adjust_LPIPS: 0.1363, Adjust_SSIM: 0.8446, PSNR: 22.3809, LPIPS: 0.1406, SSIM: 0.8327
30800_G.pthheat: 0.0000, Adjust_PSNR: 25.9594, Adjust_LPIPS: 0.1321, Adjust_SSIM: 0.8554, PSNR: 22.9154, LPIPS: 0.1366, SSIM: 0.8430
31000_G.pthheat: 0.0000, Adjust_PSNR: 25.5867, Adjust_LPIPS: 0.1477, Adjust_SSIM: 0.8454, PSNR: 22.2082, LPIPS: 0.1502, SSIM: 0.8331
31200_G.pthheat: 0.0000, Adjust_PSNR: 25.7987, Adjust_LPIPS: 0.1387, Adjust_SSIM: 0.8503, PSNR: 22.5847, LPIPS: 0.1418, SSIM: 0.8386
31400_G.pthheat: 0.0000, Adjust_PSNR: 25.7965, Adjust_LPIPS: 0.1419, Adjust_SSIM: 0.8446, PSNR: 22.3047, LPIPS: 0.1446, SSIM: 0.8337
31600_G.pthheat: 0.0000, Adjust_PSNR: 25.7222, Adjust_LPIPS: 0.1396, Adjust_SSIM: 0.8524, PSNR: 22.7355, LPIPS: 0.1442, SSIM: 0.8384
31800_G.pthheat: 0.0000, Adjust_PSNR: 25.6610, Adjust_LPIPS: 0.1440, Adjust_SSIM: 0.8479, PSNR: 22.0479, LPIPS: 0.1471, SSIM: 0.8360
32000_G.pthheat: 0.0000, Adjust_PSNR: 25.9784, Adjust_LPIPS: 0.1357, Adjust_SSIM: 0.8504, PSNR: 22.7327, LPIPS: 0.1385, SSIM: 0.8390
32200_G.pthheat: 0.0000, Adjust_PSNR: 25.6340, Adjust_LPIPS: 0.1351, Adjust_SSIM: 0.8540, PSNR: 21.7871, LPIPS: 0.1425, SSIM: 0.8362
32400_G.pthheat: 0.0000, Adjust_PSNR: 25.6859, Adjust_LPIPS: 0.1485, Adjust_SSIM: 0.8463, PSNR: 22.3948, LPIPS: 0.1526, SSIM: 0.8340
32600_G.pthheat: 0.0000, Adjust_PSNR: 26.1822, Adjust_LPIPS: 0.1269, Adjust_SSIM: 0.8559, PSNR: 22.6749, LPIPS: 0.1326, SSIM: 0.8424
32800_G.pthheat: 0.0000, Adjust_PSNR: 25.9051, Adjust_LPIPS: 0.1362, Adjust_SSIM: 0.8559, PSNR: 22.6601, LPIPS: 0.1405, SSIM: 0.8421
33000_G.pthheat: 0.0000, Adjust_PSNR: 26.1984, Adjust_LPIPS: 0.1347, Adjust_SSIM: 0.8538, PSNR: 23.0842, LPIPS: 0.1373, SSIM: 0.8432
33200_G.pthheat: 0.0000, Adjust_PSNR: 25.7457, Adjust_LPIPS: 0.1445, Adjust_SSIM: 0.8477, PSNR: 22.5578, LPIPS: 0.1481, SSIM: 0.8355
33400_G.pthheat: 0.0000, Adjust_PSNR: 25.9106, Adjust_LPIPS: 0.1416, Adjust_SSIM: 0.8519, PSNR: 23.1194, LPIPS: 0.1442, SSIM: 0.8411
33600_G.pthheat: 0.0000, Adjust_PSNR: 26.2222, Adjust_LPIPS: 0.1341, Adjust_SSIM: 0.8547, PSNR: 22.7893, LPIPS: 0.1387, SSIM: 0.8426
